above    以上、上面、上述
abreast	并肩、时髦的、及时了解
abroad	国外、室外
absent	缺席、不存在
abundance	丰富、充足
accents	口音、重要的问题
accepted	公认、被接受
accepting	验收、接受
accident	事故、意外
accommodated	容纳、适应
accompanied	伴随着、陪同
accomplished	已经完成、具有能力
according	根据、按照、依照
account	帐户、报告
accounted	占到、占据
accumulated	积累、积
ached	作痛、疼了
achieve	实现、取得
achieved	被实现
acknowledged	被承认、被认可
acquaintance	熟人、相识
across	横过、跨越
acted	采取行动、担任
acting	演戏、行事
action	行动、行为
actions	一些行动/行为
active	活跃、活泼
acts	行为、举止
acuteness	剧烈、严重
adaptability	适应性、适应能力
added	附加的、添加
adding	加入、添加
addition	添加、补充、加法
additional	额外、附加的
addressed	解决、写地址、面对
adjust	调整、调节
adjusting	调整、调节
adjustment	的调整/调节
administered	管理、实施
administering	管理、实施
administration	的管理、管理者
admiration	钦佩、敬佩、赞赏
adoration	的崇拜、的朝拜
adore	崇拜、爱慕
advance	推进、促进
advanced	先进的、高级的
advances	的进步、的进展
advantage	优点、优势、好处
advent	的到来、的问世
adventure	冒险、探险
adventures	的冒险
adversary	对手、敌手
advertised	广告、宣传
advertising	广告、宣传
advice	新闻、通知信、忠告
affair	事情、事故
affected	受影响的、有关的
affection	感情、慈爱、病情
affirmative	肯定的、确认的
affirmed	肯定、确认
afford	给予、力足以做
afoot	在进行、走路
afraid	怕、悸、害怕的
after	后、以后、然后
afternoon	下午、下午的
afterward	之后、后来、此后
again	再次、重新
againhalf	
against	"针对、抵抗、对着
 
"
agent	"代理人、经纪人、施事
 
"
ages	年龄、青睐
agility	"敏捷、灵活性
 
"
aglow	发红的、辐射的
agonizing	惨痛的、烦恼的
agony	痛苦、烦恼
ah	啊、  哎!
ahead	"向前、先头
 
"
aid	"帮助、协助、辅助
 
"
aimlessly	等闲
ain't	是不是、难道不是
air	空气、神气
air-holes	空气孔
aisles	过道、走道
akin	类似于、近似于
alaskan	阿拉斯加
alert	警惕的、的警报
alertness	"警觉、 机敏
 
"
alive	"活着、敏感的
 
"
all	所有的、的一切
allowed	允许的、容许的
allowing	允许、容许
almost	"几乎、差不多、将近
 
"
alone	单独、孤单
along	沿、顺
alongside	并肩、在。。。的旁边
aloud	大声地、高声
already	已经、曾经
also	也、还
alter	改变、修改、改造
always	总是、一直
amazingly	令人惊讶、令人惊异
ambition	志向、 意愿、志气
ambitious	"有雄心、抱负不凡的
 
"
ambuscade	伏击、埋伏
amenities	设施、厕所
amid	中、在。。。之中、在其间
ammunition	弹药、军火
among	其中、之间、在。。。之中
amongst	其中包括、当中、之间的
amount	"量、数量、等于、总共
 
"
an	一个
ancestor	祖先、祖辈
ancestors	祖先们
anchor	锚、碇、抛锚
ancient	古老的、过去的、古人
and	和、与、同
anger	愤怒、怒火、怒气
angle	角、角度、角落
angry	"愤怒、忿怒、忧郁
 
"
animal	动物、兽
animals	动物
animated	热烈的、扢的
ankle	"脚踝、 腿腕子
 
"
announced	公布、宣布
annoyed	恼火、懊
another	另一、别、在
answer	回答、答复、。。。的答案
answered	回答、解答
answering	回答、解答
answers	答案
antagonist	对手、敌手、对抗者
antagonists	拮抗剂
antlers	鹿角、觡
anxious	急、焦急、担心
any	任何、所有的
anything	什么、者、无论如何
anyway	无论如何、死活、还有
apart	隔开、离开、分别
apex	顶点、顶尖
appalled	"震惊、慴
 
"
apparel	服饰、 穿戴
apparent	"明显的、 表面的
 
"
apparently	"似乎、显然地、表面上
 
"
appealed	呼吁、上诉
appealingly	恳求、吸引人地
appear	出现、呈现、显露
appearance	外形、外貌
appeared	出现、显现
appeasement	缓和、 抚慰
approvingly	赞许地、 满意地
appetites	胃口、口腹之欲
apprehension	"顾虑、忧心、拘押
 
"
apprehensions	忧虑、疑虑
apprehensively	悬念、忧虑地
approached	走近、接近
apt	贴切、合适、得当
arbors	乔木、心轴
arctic	北极
arduous	艰巨、艰苦、费力的
are	是
aristocrat	贵族、贵族论者
arm	胳膊、胳臂
armed	武装的、武警
arms	武器、军火、军备
arose	出现、产生
around	周围、围绕、在。。。周围
arouse	"引起、唤起、激起
 
"
aroused	激昂、引起了
arranged	安排、配置
arrangement	安排、排列、布局
array	"排列、矩阵
 
"
arrested	拘捕了、被捕
arrive	"到达、抵达、来到
 
"
arrived	抵达 了、来到 了
arrow	箭头、箭
arrow-end	箭头
arrows	箭头
art	艺术、美术、功夫
artesian	"自流井的、喷水井的
 
"
article	文章、条文、报道
articles	用品、文章
articulate	明白地说、说出
artist	艺术家、画家、美术家
as	如、如同、若
ascended	登高、升天
ashamed	"羞愧、过意不去的
 
"
ashore	"岸上、向岸地
 
"
aside	旁白、在旁边
ask	问、询问、请求
asked	问、询问
asleep	"睡着的、麻木的
 
"
aspect	"方面、侧面
 
"
aspens	白杨
aspired	渴望、期望
assailants	袭击者、行凶者
assailed	抨击、袭击
association	"协会、组合、合伙
 
"
assortment	"品种、花色品种
 
"
astonished	惊讶、吓坏的
astonishment	惊愕、惊异
asunder	四分五裂、崩裂
at	在、于、对
ate	吃了、吃掉
athletic	"运动、田径的
 
"
atmosphere	气氛、 大气层、空气
attached	"附、 附属、隶
 
"
attack	"攻击、进攻
 
"
attacked	攻击、袭击
attacking	攻击、袭击
attempt	"尝试、企图、试图
 
"
attempted	"尝试、试图
 
"
attempting	试图、尝试
attended	出席、参加
attention	注意、关注
attitude	态度、姿态
attracted	吸引、引起
aurora	极光
authority	权威、威权、权柄
avail	"利用、裨益
 
"
averaged	平均、场均
averred	断言、坚称
avoided	避免
awakening	唤醒、唤醒的
awakenings	觉醒、憋醒
aware	"察觉、注意到、自觉
 
"
away	远离、缺席的
awe	威严、贺词、恐吓
awed	慑于、镇住了
awkward	尴尬、笨拙
awoke	醒了、点醒
axe	"斧头、 钺
"
axe-handle	斧头柄
babel	巴贝尔、通天
back	后面、背面
backbone	"骨干、支柱
 
"
backed	支持、抵押
backs	背上、后背
backward	"落后、向后的
 
"
bacon	熏肉、咸肉
bad	坏、不良、糟糕
badly	惨、 非常
bag	袋、 包、兜子
baggage	行李、包袱
baggageman	baggageman
bags	一些袋、一些包
ball	球、舞会
band	带、带子、 钮带
bank	"银行、岸边
 
"
banked	开户、存入银行
bar	酒吧、酒廊、沙洲
barbarous	"野蛮、 残暴、 禽兽
 
"
bare	"裸、赤裸裸、 裸露
 
"
barely	仅仅、刚
barge	"驳船、 游艇
 
"
bark	吠、喊叫
barked	咆哮、吠叫
barking	叫声、叫声的
barracks	军营、兵营
barred	禁止、不得
barrens	贫瘠之地、不毛之地
bars	几家酒吧、几家酒廊、沙洲
basis	"基础、依据、根据
 
"
batches	批次、分批
bathed	沐浴、洗澡
battered	焦头烂额
battering	殴打、虐打
battle	战斗、开战、的斗争
battles	战斗、闯荡
battle-scarred	身经百战
bay	海湾、 绝路
be	是、在、有、为
beach	海滩、岸边
beaches	海滩、泳滩
bear	承担、承受、背负
beardless	无须、乳臭未干
bearing	轴承、风度、态度
beast	"兽、走兽
 
"
beasts	兽类
beaten	殴打、破败、疲惫
beating	"跳动、搏
 
"
beautiful	美丽、漂亮
beaver	"海狸、 河狸
 
"
became	成为、变成
because	因为、因、由于
beckon	招手、摆手
become	成为、变成
becomes	成为、变成
becoming	成为、变成
bed	"床、床铺
 
"
bedlam	疯人院、喧闹
bed-rock	基岩
beds	"床、床铺
 
"
been	一直、已经
before	前、以前、从前
began	开始、始于
begged	求、恳求
beginning	"开始、开头、初期
 
"
beginnings	开始、开头、开端
behind	背后、落后、的后面、在。。。后边
being	存在、生存、存在的
belie	谗、谤
belief	"信念、信仰、信心
 
"
believed	相信、信
believing	相信、认为
belligerent	"交战的、交战的双方、 忮
 
"
bells	钟声、铃铛
belly	肚皮、肚子、腹部
bellying	Bellying
belong	属于、附属
belonged	属于、所属
belongings	财物、财产
belongs	属于、所属的
below	下面、一下、在。。。之下
belt	带、腰带、带子
bench	长椅、长凳
benches	长凳、长椅
bend	弯曲、摇动、。。。的弯子
bending	弯曲、摇动
bends	弯曲、摇动、。。。的弯头
beneath	下面、底下、在。。。之下
bent	"弯曲、搞同性恋的、爱好、志向
 
"
berry	浆果、野果
beset	困、向往
