a	một
aback	lùi trở lại
abalone	bào ngư
abandon	bỏ đi
abandonment	sự bỏ rơi
abase	làm mất thể diện
abash	làm lúng túng
abate	làm giảm
abbe	tu viện trưởng
abbey	tu viện
abbot	tu viện trưởng (thiên chúa giáo)
abbreviate	viết tắt
abdicate	từ bỏ
abdomen	bụng
abdominal	ở bụng
abduct	bắt cóc
abed	ở trên giường
aberrant	khác thường
abet	xúi giục
abeyance	đình chỉ
abeyant	tạm nghỉ hoạt động
abhor	ghê tởm
abhorrent	ghê tởm
abide	tuân thủ
ability	khả năng
abject	hèn hạ
abjectly	một cách vô vọng
ablate	cắt bỏ
ablaze	sáng chói
able	có thể
ablution	lễ rửa tội
abnormal	bất thường
aboard	lên trên
abode	nơi ở
abolish	xóa bỏ
abolition	bãi bỏ
abominable	ghê tởm
abominate	ghét cay ghét đắng
aboriginal	bản xứ
aborigine	người bản xứ
abort	phá thai
abortion	phá thai
abound	có rất nhiều
about	về sự
above	bên trên
aboveboard	thẳng thắn, không quanh co
aboveground	trên mặt đất
abrade	làm trầy
abrasion	mài mòn
abrasive	bào mòn
abreact	giải tỏa mặc cảm
abreast	theo kịp, không lạc hậu
abridge	tước
abridgment	sự hạn chế
abroad	ở nước ngoài
abrogate	hủy bỏ
abrupt	đột ngột
abscess	áp xe
abscissa	hoành độ
absence	thiếu, không có
absent	vắng mặt
absentee	người vắng mặt
absenteeism	tình trạng thường xuyên vắng mặt
absent-minded	đãng trí
absinthe	cây ngải đắng
absolute	tuyệt đối
absolution	tha
absolve	miễn trách nhiệm
absorb	hấp thụ
absorbent	thấm nước
absorption	hấp thu
absorptive	hấp thụ
abstain	kiêng
abstention	bỏ phiếu trắng
abstinent	điều độ, kiêng khem, có chừng mức
abstract	không thực tế
abstractor	người viết bản tóm tắt
abstruse	khó hiểu
absurd	vô lý
abundance	sự phong phú
abundant	nhiều
abuse	lạm dụng
abusive	lừa đảo
abut	tiếp giáp
abysmal	khủng khiếp
abyss	vực sâu
academia	giới học viện
academic	(thuộc) học thuật
academician	viện sĩ hàn lâm
academy	học viện
acanthus	cây ô rô
accede	tán thành
accelerate	tăng tốc
accelerometer	gia tốc kế
accent	giọng
accents	giọng nói, điểm nhấn
accentual	trọng âm
accentuate	nhấn mạnh
accept	chấp nhận
acceptant	chấp nhận
accepted	chấp nhận
accepting	chấp nhận
acceptor	nguyên tử nhận ê lếch tron
access	truy cập
accessible	có thể tiếp cận
accession	lên ngôi
accessory	phụ tùng
accident	tai nạn
accidental	tình cờ
acclaim	sự ca ngợi
acclamation	sự hoanh nghênh, hoan hô nhiệt liệt
acclimate	thích nghi với môi trường
accolade	(sự) tán thưởng và công nhận thành quả
accommodate	cung cấp nơi ở
accommodated	đã cung cấp chỗ ở
accomodation	chỗ ở
accompanied	đã đi kèm
accompaniment	vật kèm theo
accompanist	người đệm (nhạc)
accompany	đi kèm, tháp tùng
accomplice	kẻ tòng phạm
accomplish	hoàn thành
accomplished	đã thực hiện
accord	hiệp định
accordant	phù hợp
according	theo
accordion	đàn ắc cooc đê ông
account	tài khoản
accountant	nhân viên kế toán
accounted	chiếm, chịu trách nhiệm
accounting	kế toán
accredit	giành được
accretion	(sự) lớn dần lên
accrual	sự dồn lại, tích lại
accrue	đổ dồn
acculturate	tiếp biến về văn hóa
accumulate	tích lũy
accumulated	đã tích lũy
accuracy	chính xác
accurate	chính xác
accusation	sự buộc tội
accuse	buộc tội
accustom	làm quen
ace	cực kì xuất sắc
acetate	chất a-xê-tát
acetone	chất a-xê-tôn
acetylene	chất a-xê-ti-len
ache	sự đau nhức
ached	đau nhức
achieve	đạt được
achieved	đã đạt được
aching	(sự) đau đớn
achromatic	không màu
acid	axit
acidic	tính a xít
acidulous	có pha a xít
acknowledge	chấp nhận
acknowledged	đã thừa nhận
acme	đỉnh cao nhất
acne	mụn trứng cá
acolyte	người hầu
acorn	hạt dẻ
acoustic	mộc
acquaint	làm quen
acquaintance	người quen
acquiesce	bằng lòng
acquire	giành được, có được
