そ	1
その	12
その夜	123
その夜の車	1234
その夜の車中	12345
その夜の車中の	123456
その夜の車中のこ	1234567
その夜の車中のこと	12345678
その夜の車中のことは	123456789
その夜の車中のことは、	1234567890
の	2
の夜	23
夜の車	345
夜の車中	3456
車中の	567
原始	Original
放浪	Primitive
念	nomadic, roaming, wandering, vagrancy
昂（たか）まり	longing, a desire, a wish
習慣	leap
鉄鎖	a custom
憤（いきどお）る	iron chain,chain
冬の	chafe, be angry, be enraged
再び	brumal 
野性	again, twice, for the second time
眠らずに	ferine, wild
新聞	wake
読む 	a newspaper, a paper,
彼のみ	read, 
ピュージェット・サウンド	himself
サン・ディエゴ	Puget Sound
筋肉	San Diego
強く	a muscle, muscular
長い	strong, hard
暖かい	long, lengthy
毛	warm
隠れる	hair,a hair
涼しい	be hidden
芝生	cool
畝ねる 	a lawn, lawns
ポプラ	to wind, to undulate, to meander, to surge, to swell, to roll, 
交錯する	poplars
砂利	interlacing, mix, intertwine
敷く	gravel
車道 	spread, lay out
ドライブウェー	a roadway, a road,
ボーイ	driveways
厩舎	boys
蔓草 	a stable, a cowshed
整然	a vine, a creeper, a climber, a climbing plant
納屋	orderly, well-ordered, systematic
葡萄棚	a shed, a (storage) barn
牧場	grape arbors, grapevine trellis
果樹園	a stock farm, a pasture, grazing land, 
納屋	orchard
生まれた	 outhouses
生涯	 born
過ごす	a life, one's lifetime, a career
狆	spend, pass, live
メキシコ産	a Japanese spaniel, Japanese pug
イザベル	Mexican 
居る	Ysabel,
フォックス・テリ	to be, to exist
掘抜き井戸	fox terriers
セメント	artesian well,
ポンプ装置	cement
貯水池	pumping
飛び込み	tank, reservoir
無毛	a plunge, diving, a dive
暑い	hairless
涼む	hot
鼻	cool
場所	nose
箒	a place, a spot, a scene
棒雑巾	a broom
武装する	mops
窓	arma
吠える	windows
一隊	bark, howl
脅かす	armed
領域	startle, frighten
息子	realm , a territory, a domain
水泳	sons
飛び込む	swimming
猟に出かける	plunge, jump, leap (into)
モリーとアリス	hunting
そぞろ歩き	Mollie and Alice,
早朝	rambles,slow, relaxed walk, stroll
黄昏	early morning 
書斎	twilight 
暖炉	a study, a library
足	a fireplace
燃えさかる	feet 
転がす	fire
厩	roll
中庭	a stable, a (horse) barn
泉	stable yard, , a court, a courtyard, a quadrangle，
牧草地	a spring, a fountain
苺畑	berry patches
冒険的	adventurous
尊大	imperiously
無視	ignore, disregard, pay no attention to
全然	utterly
王者	royal, regal, kingly
邸内	the premises 
含める	include
有らゆる	all, every
這う	crawl, creep
人間	humans
君臨	king
飛ぶもの	flying things
父親	His father
エルモ	Elmo
巨大な	a huge
セントバーナード	St Bernard
伴侶	a companion
離れぬ	inseparable
継ぐ	bid fair 
大きい	big, large
体重	one's weight
ポンド	pounds
母親	mother, a female parent
シェップ	Shep
スコッチ・シェパード種	Scotch shepherd dog
拘らず	in spite of, Although ,Though, Nevertheless,
暮らし	life, existence, a living, a livelihood
尊敬	respect, esteem
威厳	dignity, majesty
仔犬	puppyhood
満ち足りる	satisfaction, content(ment), complacency, complacence
貴族 	aristocratic tastes
立派	excellent, splendid, magnificent, fine
矜持	pride
紳士	a gentleman
田舎	country
ような	as
孤立	isolation
聊か	a little, a bit, slightly
飽食	satiation
番犬	house-dog
狩猟	hunting, shooting
戸外	open air, the outdoors
同様	kindred
娯楽	delights
脂肪	fat, grease, blubber, 
筋肉	muscles,
落し	harden
愛する	love,
強壮剤	a tonic
健康	health
保全剤	preserver
秋	autumn, fall
アラスカ	alaska
クロンダイク	Klondike
マニュエル	Manuel
引き付ける	drag, attract, fascinate, charm
即ち	namely, that is (to say),
富くじ	lottery
賭ける	bet (on, against), stake (money on)
博奕	gambling, a risk
園丁	a gardener, a park keeper
女房	a wife 
葡萄	a grape, a grapevine
葡萄栽培者	Raisin Growers' Association
カレッジ・パーク	College Park 
首輪	a (dog) collar
乱暴な	gruffly, violent, rough
綱	rope, the law of the land, discipline
まきつけ	to sow (seeds)
こいつ	these guys, these fellows
頷く	nod
ねじれる	to twist, to wrench, to screw
従容	calm, composed
信頼	confidence, trust, reliance
智慧	wisdom, intellect
威嚇	threaten, menace, intimidate
唸る	growl, groan, moan
告知	a notice, notification,an announcement
命令	an order (to do), a command (to do), directions
信ずる	to believe, to place trust in, to confide in, to have faith in
不快	unpleasant, disagreeable, uncomfortable
すると	In quick rage
途中	on the way, on one's way,haflway
迎える	meet
ぎゅっと	crunch
締め付ける	grapple, tighten, fasten tight
捻り	a twist
のど	throat
投げ倒す	throw down
暴れる	act violently, rage, run amuck, struggle
怒り	anger, (a) rage, (a) fury, wrath
無慈悲	merciless, pitiless, heartless, cruel, ruthless
舌	a tongue
扱い	be treated cruelly
尽き	run out (of), exhaust, ebbed
眼力	insight (into), power(s) of observation
失う	lose sight
列車	a train
旗	flag
貨車	baggage car, a freight train, a goods train, a goods wagon
傷む	hurt,be damaged, 
ぼんやり	dim(ly), indistinct(ly), vague(ly)
機関車 	a railroad, a locomotive (engine)
踏切	a (railroad) crossing, a grade
差し掛かる	approach
汽笛	a (steam) whistle, a siren
判事	an assistant judge
たびたび	often, frequently,
誘拐	kidnapping, abduction
手放し	unbridled
飛び掛かる	to spring upon
すばやく	quickly, nimbly, agilely
しめる	occupy, hold
顎	a jaw,
騒ぎ	noise, an uproar
聞き付ける	in a familiar voice
貨物係り	baggageman
かくして	thus, in this way
フリスコ	Frisco
偉い	great, admirable, crack
きっと	surely, certainly,
サンフランシスコ	San Francisco
海岸	the (sea) shore, the seaside, the beach, the coast
酒場	a bar (room), a saloon,  a public house, a pub
裏	the reverse side, the back
雄弁	eloquence
俺	(masc) I, me 
ぶつぶつ	grumbling, complaining in a small voice
ハンカチ	handkerchief,
縛る	wrap, tie, bind
膝	a kneecap
くるぶし	the ankle (bone)
裂ける	rip, to split, to tear, to burst
相棒	a partner, a sidekick, an accomplice
訪ねる	visit, demand
勘定する	count, calculate, reckon
ばかり	squarehead
誘拐者	abductor, the kidnapper
ざくざく	lacerate
恐犬病	hydrophoby
絞める	strangle
バック	Dazed
堪らない	intolerable, unbearable,
投げ倒す	throw down
締め付ける	choke [throttle] 
真鍮	brass
檻	a cage
投げる	throw, fling,
過ごす	spend, pass
漠然	vaguely
圧迫	pressure,oppression
幾度	Several times, how many times, how often
がたがた	a rattle
ぼろ	rag, scrap, tattered clothes, fault
襲う	storme
不承不承	reluctantly, unwillingly
小包 	a package, a parcel, parcel post
機関車	a railroad, a locomotive 
積み込み	loading, 〔船に〕shipping
貨車	express car, a goods train,a freight train，
しっぽ (尻尾)	the tail
唸る	growl
仕返し	revenge, retaliation 
ふるえ  	trembling, shivering, shuddering
あぶく	frothing
吹き出す	blow
ぶつかる	bump against, breaking against
嘲る  	taunt, jeer (at), ridicule, make fun of, mock
 肉体	the body, the flesh
  真似	imitation, mimicry, like 
両腕	both arms
つまらない  	detestable, dull, uninteresting, boring, insignificant, trifling
威厳	dignity, majesty
  傷つける	outrage
ますます	more and more,
たかまる  高まる	get higher, fan
空腹	hunger
緊張し	suffering, be nervous, feel the strain
感覚	a sense, sensation
虐待	treatment, maltreatment, abuse
  陥れる	plunge, entrap
やけつく	to burn, baking [burning] hot inside
膨れる	swell (out, up)
炎症	an) inflammation
嬉しい	be glad, be happy, be delighted 
綱	rope
優越	advantage, superiority, supremacy, predominance, being superior to
決心	determination, (a) resolution
蓄積する	accumulate, store (up), pile up
悪魔	the Devil, Satan, a fiend, 
