50 dặm	fifty-mile
à	expression Oh!, by the way
ạ	polite expression to someone superior
à 	yes (expression)
á thần	demigod
ác	evil
ác 	evil
ác liệt	fierce
ác tâm	malice
ác tính	malignant
a-cri-lích	acrylic
ai	who, (unknown, uncertain)
ái	exclamation of pain or surprise
ai cũng có gia tộc	everyone has family
ai nấy 	everyone
ám	possess, darken
âm	yin, minus
ấm	warm
ầm	loud
ẩm	moist, humid
ám 	possess
ầm ầm	rumble
ấm áp	warm
ám chỉ	allude
ảm đạm	bleak, gloomy, dreary
âm điệu	tone, melody
ám muội	shady, dubious, underhand, sinister
âm mưu	conspire, plot, conspiracy
âm nhạc	music(al)
ám sát	assassinate
âm thanh	sound
âm u	dim
ẩm ướt	damp, humid
amip	amoeba
amoniac	ammonia
ampe	ampere
án	a (legal) sentence
ân	grace, favour
ăn	eat
ấn	publication, stamp
ẩn	hide
ấn 	to press; an official stamp
ăn cắp	steal
ăn chay	vegetarian
ăn cơm	dine; eat rice
ấn Độ	India
ăn được	edible
ăn kiêng	dietary, dietetic, dieting
ăn mày	beggar
ăn mòn	corrosion
ăn năn	repent, penance
ẩn náu	to hide
ăn ở	eat and live (at, with)
ăn quá nhiều	overeat, eat too much
an toàn	safe, secure
án tử hình	death penalty
ấn tượng	impression
an ủi	comfort, console
ăn vô độ	binge
áng nắng ban ngày	daylight
anh	elder brother/male, 1st 2nd person (reference to male > he)
ánh	light
ảnh 	photo, picture; he
anh (em) họ	cousin
anh ấy	he/him (older male level)
anh ấy 	he, him (older male level)
anh bạn	fellow
anh cúi 	you/he bend(s)  (older male level)
anh đã	you've  (older male level)
anh dâu	older brother in law (wife side)
anh em	brothers, elder brother of mine(younger level)
ánh hồng	afterglow
anh hùng	hero(ic)
ảnh hưởng	affect, influence
ảnh hưởng bởi	affected by
ảnh hưởng đến	affect
ánh mắt	glance, eye reflection
ánh nến	candlelight
anh nhìn 	he/you looks  (older male level)
anh rể	older brother in law (husband side)
ánh sáng	light
anh ta	him
ánh trăng	moonlight, moonshine
anh viết 	he/you write  (older male level)
ao	pond
áo	shirt
áo 	shirt, upper cloth wear
áo choàng	robe, cloak
ao hồ	lake
áo khoác	coat, vest
áo len	sweater
áo mưa	raincoat
ảo thuật	magic
ảo tưởng	delusion
ao ước	crave
áp	pressure
ấp	brood
áp bức 	oppress
áp dụng	apply
áp lực	pressure
áp suất không khí	air pressure
áp xe	abscess
át	to drown out (noise)
át lát	atlas
ấu	child, youth
ấu chấm câu	punctuation mark
a-xê-tát	acetate
a-xê-ti-len	acetylene
a-xê-tôn	acetone
axit	acid
ấy	that
ấy 	that
ba	three, father 
bà	grandmother, she, woman (pronoun 1st, 2nd singular)
bã	residue
bả	bane; she(older woman)
bá chủ	master of dominion
bà cố	great grandmother
bà già	old woman
ba lần	three times
ba lô đeo vai	backpack
ba mươi	thirty
bà ngoại	grandmother (mother'side)
bà nội	grandmother (father'side)
bá tước	earl
bác	uncle (father or mother's older brother/sister)
bấc	wick
bắc	north
bạc	silver
bậc	echelon
bác bỏ	demurrer
Bắc Cực	arctic
bác gái	aunt (older sister of father or mother)
bác sĩ	doctor, physician
bác sĩ chó 	dog-doctor
bác sĩ da liễu	dermatologist
bác sĩ nhi khoa	pediatrician
bác sĩ thú y	veterinarian
bách	100, all (indirect meaning)
bách khoa toàn thư	encyclopedia
bạch tuộc	octopus
bài	article, lesson, post
bãi	bank, expanse, ground, field
bại 	fail(ure)
bãi biển	beach
bãi bỏ	abolition
bãi chọi gà	cockpit
bãi cỏ	lawn
bải cỏ	meadow
bài giảng	lecture
bài hát	song
bài hát ca ngợi	anthem
bài hát mừng	carol
bài học	lesson
bài luận	essay
bài phát biểu	speech
bài tập về nhà	homework
bài thơ	poem
bài thuyết giáo	sermon
bài viết	article
bám	cling
băm	to chop, mince
bẩm	congenital; to refer (to higher level) before title: "dear" sir
bám chặt vào	attach firmly to
bẩm sinh	congenital
bán	sell
bàn	desk, table
bần	poverty
bắn	shoot
bản	a composition, copy (classifier)
bẩn	dirty
bạn	friend, you (friend level)
bận	busy, an instance, an incidence, one time 
ban 	department
bản án	verdict
bán buôn	wholesale
bán cầu	hemisphere
bàn chải đánh răng	tooth brush
bàn chân	foot
bản chất	essence
bạn chí thân	crony
ban cho	give to, grant
ban công	balcony
bán đảo	peninsula
ban đầu	initial
bán đấu giá	auction
ban đêm	night time
bản địa	native
bản đồ	map
ban giám đốc	directorate
bán hàng	sales
bạn học	classmate
bản kế hoạch	blueprint
bản khai	affidavit
băn khoăn	In a divided mind
băn khoăn 	anxious, divided mind
bán kính	radius
bán lẻ	retail
bản lề	hinge
bản năng	instinct
ban ngày	daytime
bạn nghề	mate
ban nhạc	band
ban phước	bless
bận rộn	busy
bản sao	copy
bản sao chép	copy
ban sơ	primitive
bàn tay	hand, palm
bản thân	self
bạn thân	buddy
bản thiết kế	blueprint
bàn thờ	altar
bàn thợ	workbench
bản trích yếu	compendium
bán vé	ticket sale
bản xứ	aboriginal
báng	butt of rifle/gun
băng	ice, bandage, tape
bằng	by, equal
bảng	board, table, list, roll
bằng 	by, equal
bảng 	board
bằng biểu đồ	diagrammatic
báng bố	desecrate
băng cát sét	cassette
bằng chứng	evidence, proof
băng đảng	gang
bằng đất	earthen
bảng đen	blackboard
băng giá	frost
bằng gỗ	wooden
bằng lời nói	verbal
bằng lòng	acquiesce
bằng miệng	oral
bằng nhau	equal
băng qua	crossing, pass
bằng tay	manual
bảng xếp hạng	billboard
banh	ball
bánh	cake; wheel
bánh 	cake, bakery
bánh bao	white bun cake
bánh mì	bread
bánh ngọt	pastry
bánh quy	cookie
bánh răng	gear
bánh xe	wheel
bao	sack, bag
báo	report, newspaper
bào	of cell; to shave
bão	storm
bảo	tell, order
bạo	violent, bold
bạo 	violence, bold
bao bì	wrapping
báo cáo	report
báo chí	press
báo cho biết	apprise
bào chữa	plead
bảo đảm	warrant
báo động	alarm, alert
bao giờ	ever
bao gồm	involve
bảo hành	warranty
bảo hiểm	insurance
bão hòa	saturate
bão kèm theo gió	windstorm
bao la	vast
bảo lãnh	guarantee
bào mòn	abrasive
báo mộng	reported in dream
bào ngư	abalone
bảo quản	preserve
bảo tàng	protective treasure, museum
bảo tồn	conserve
báo tranh chuyện vui	comic
bão tuyết	blizzard
bao vây	surround
bảo vệ	guard, protect
bắp	corn; muscle
bắp cải	cabbage
ba-ri	barium
bát	bowl
bất	any
bắt	apprehend, catch
bật	to pluck, recoil, rebound
bật 	(to)turn on, switch
bắt buộc	compel, compulsive
bất cẩn	careless
bất chấp	defy
bất chợt	casual
bắt chước	imitate, mimic
bắt cóc	abduct, kidnap
bất công	unfair
bất cứ ai	whoever, anybody, anyone
bất cứ cách nào	anyway, whichever way
bất cứ cái gì	anything
bất cứ điều gì	whatever, anything
bất cứ khi nào	whenever
bất cứ lúc nào	whenever
bất cứ nơi đâu	anyplace
bất cứ nơi nào	wherever
bất đắc dĩ	Unavoidable, reluctant, grudging
bắt đầu	start, begin, beginning
bật dậy 	turn up
bất động	motionless
bất động sản	real estate
bắt giữ	arrest, capture
bất hợp pháp	illegal
bất khả chiến bại	invincible
bất kỳ	any
bật lại	rebound
bất lợi	adverse
bất lực	incompetent, helpless, powerless
bắt nạt	bully
bất ngờ	surprise
bắt tay	handshake
bất thường	extraordinary, abnormal, unusual
bất tỉnh	unconscious
bất tử	deathless, immortal
bầu	to vote; a gourd; ovary
bầu cử	election
bầu không khí	atmosphere
bầu trời	sky
bay	fly
bày	presented
bây	now
bấy	then; crush pulpy
bầy	herd
bẫy	trap
bảy	seven
bẩy	seven
bậy	rubbish, wrong
bầy đàn	flock
bây giờ	now
bay hơi	evaporate
bảy mươi	seventy
bé	little, child
bè	friends, a raft
bế	carry (infant) in both arms
bề	surface, side
bẻ	break
bể	water tank; to break
bệ	platform
bê 	baby cow, to carry
bề 	surface, side
bể cá	aquarium
bề mặt	surface
bề ngoài	appearance
bén	sharp
bèn	so then
bên	side
bến	terminals, landing stage
bền	durable
bện	braid
bến 	terminals, port
bến cảng	harbor
bên cạnh	beside
bên dưới	beneath
bên kháng cáo	appellant
bẽn lẽn	bashful
bén lửa	glazed, catch fire
bên ngoài	external, outside
bên phải	right side
bên sườn	flank
bến tàu	pier, port
bên thua	losing side
bên trên	above
bên trong	within, inside
bênh	defend
bềnh	floating
bệnh	ill
bệnh lỵ	dysentery
bệnh nhân	patient
bệnh suyễn	asthma
bệnh tiểu đường	diabetes
bệnh tự kỷ	autism
bệnh viêm ruột thừa	appendicitis
bệnh viện	hospital
beo	leopard
béo	blubber, fat, obese
bếp	kitchen
bếp 	kitchen
bét	last in standing
bết	to smear; stick to, bad, inferior
bi	bi
bì	Packaging
bỉ	persistence
bị	is (affected) by
bi ai	mournful
bí ẩn	mystery
bị ăn cắp	(to be) stolen
bị ảnh hưởng	(to be) affected
bị áp bức	(to be) oppressed
bị bắn	(to be) shot
bị bắn phá	(to be) bombarded
bị bão	(to be) stormed
bị bao bọc	(to be) enveloped
bị bao gồm	(to be) included
bị bao quanh	(to be) surrounded
bị bắt	(to be) caught
bị bắt buộc	(to be) compelled
bị bắt cóc	(to be) kidnapped
bị bắt giữ	(to be) captive
bị bất ngờ	(to be) unexpected
bị bắt vít	(to be) bolted
bị bệnh khờ	(to be) retarded
bị biến mất	(to be) disappeared
bị bỏ rơi	(to be) left behind
bị bọc	(to be) wrapped
bị bối rối	(to be) puzzled
bị bùng phát	(to be) boomed
bị buộc	(to be) forced
bị buộc dây 	(to be) leashed
bị cai trị	(to be) ruled
bị cảm thấy	(to be) felt
bị cầm tù	(to be) imprisoned
bị cắn	(to be) bit (bite)
bị cắn nhẹ	(to be) nipped
bị can thiệp	(to be) interfered
bị căng thẳng	(to be) strained
bị cắt giảm	(to be) slashed, cut, reduce
bị càu nhàu	(to be) grumbled, complained
bị chai	(to be) hardened, callous
bị chậm phát triển	(to be) retarded
bị chán	(to be) bored
bị cháy sém	(to be) fire-scorched
bị chế giễu	(to be) taunted
bị chết	(to be) dead
bị chết đói	(to be) famished, starved
bị chết đuối	(to be) drowned
bị chiếm	(to be) occupied
bị chìm	(to be) sunken
bị chở bằng xe tải	(to be) transported by truck
bị chờ đợi	(to be) waited
bị choáng váng	(to be) dazed
bị chọc	(to be) poked
bị chơi	(to be) played
bị chôn	(to be) buried
bị chọn	(to be) selected
bị chôn vùi	(to be) buried
bị chuyển	(to be) shifted
bị chuyên chở	(to be) freighted
bị chuyển dời	(to be) moved
bị chuyển đối	(to be) transformed, changed
bị cọ xát	(to be) rubbed
bị cong	(to be) bent
bị cười	(to be) laughed
bị cuộn	(to be) rolled
bị cuốn lên	(to be) reeled, curled
